Index_dtools,Manufacturer_dtools,Model_dtools,Part_dtools,Cost_dtools,Price_dtools,Used_dtools,Match Ratio,Index[1],Manufacturer[1],Model[1],Part[1],Cost[1],Price[1],Used[1],Match,Keep,Manufacturer[0],Model[0]
123,APRILAIRE,'8083,'8083,104.0,208.0,False,100.0,0,aprilaire,8083,,104.0,$208.00 ,False,False,True,,
124,APRILAIRE,'8811,'8811,103.6,207.2,False,100.0,15,aprilaire,8811,,103.6,$207.20 ,False,False,True,,
125,APRILAIRE,'8819,'8819,109.0,218.0,False,100.0,17,aprilaire,8819,,109.0,$218.00 ,False,False,True,,
126,APRILAIRE,'8820,'8820,198.9,397.8,False,100.0,18,aprilaire,8820,,198.9,$397.80 ,False,False,True,,
122,APRILAIRE,'8081,'8081,74.03,148.05,False,75.0,0,aprilaire,8083,,104.0,$208.00 ,False,False,True,,
117,APRILAIRE,'6403,'6403,220.0,300.0,False,52.33333333333334,10,aprilaire,8620,,139.075,$278.15 ,False,False,True,,
118,APRILAIRE,'6404,'6404,230.0,313.6506,False,52.33333333333334,10,aprilaire,8620,,139.075,$278.15 ,False,False,True,,
119,APRILAIRE,'8029,'8029,15.9,31.8,False,50.0,0,aprilaire,8083,,104.0,$208.00 ,False,False,True,,
120,APRILAIRE,'8051,'8051,15.63,31.25,False,50.0,0,aprilaire,8083,,104.0,$208.00 ,False,False,True,,
121,APRILAIRE,'8052,'8052,5.18,10.35,False,50.0,0,aprilaire,8083,,104.0,$208.00 ,False,False,True,,
4537,SONUS FABER,SONETTO II (BLACK),SONETTO II (BLACK),1264.45,2299.0,False,43.33333333333334,11,SONUS FABER,PMK Pointed 5 pcs/pack,,$12 ,$30 ,False,False,True,,
4538,SONUS FABER,SONETTO II (WALNUT),SONETTO II (WALNUT),1264.45,2299.0,False,42.0,25,SONUS FABER,,,$190 ,$475 ,False,False,True,,
4534,SONUS FABER,OLYMPICA I (GLOSS BLACK),OLYMPICA I (GLOSS BLACK),2860.0,5200.0,False,40.66666666666666,11,SONUS FABER,PMK Pointed 5 pcs/pack,,$12 ,$30 ,False,False,True,,
4527,SONUS FABER,GRAVIS II (PIANO BLACK),GRAVIS II (PIANO BLACK),824.45,1499.0,False,39.66666666666666,11,SONUS FABER,PMK Pointed 5 pcs/pack,,$12 ,$30 ,False,False,True,,
4530,SONUS FABER,GRAVIS V (PIANO BLACK),GRAVIS V (PIANO BLACK),2750.0,5000.0,False,39.333333333333336,11,SONUS FABER,PMK Pointed 5 pcs/pack,,$12 ,$30 ,False,False,True,,
4528,SONUS FABER,GRAVIS II (WALNUT),GRAVIS II (WALNUT),824.45,1499.0,False,36.0,25,SONUS FABER,,,$190 ,$475 ,False,False,True,,
4533,SONUS FABER,OLYMPICA I - STAND,OLYMPICA I - STAND,660.0,1200.0,False,35.666666666666664,25,SONUS FABER,,,$190 ,$475 ,False,False,True,,
4535,SONUS FABER,OLYMPICA I (WALNUT),OLYMPICA I (WALNUT),3575.0,6500.0,False,35.333333333333336,25,SONUS FABER,,,$190 ,$475 ,False,False,True,,
4531,SONUS FABER,GRAVIS V (RED),GRAVIS V (RED),2750.0,5000.0,False,35.0,7,SONUS FABER,"SQ Grill 6""",,$18 ,$45 ,False,False,True,,
4529,SONUS FABER,GRAVIS II (WHITE MATTE),GRAVIS II (WHITE MATTE),824.45,1499.0,False,31.0,11,SONUS FABER,PMK Pointed 5 pcs/pack,,$12 ,$30 ,False,False,True,,
4532,SONUS FABER,GRAVIS V (WENGE),GRAVIS V (WENGE),2750.0,5000.0,False,30.33333333333333,7,SONUS FABER,"SQ Grill 6""",,$18 ,$45 ,False,False,True,,
4539,SONUS FABER,SONETTO II (WHITE),SONETTO II (WHITE),1264.45,2299.0,False,29.33333333333333,7,SONUS FABER,"SQ Grill 6""",,$18 ,$45 ,False,False,True,,
4536,SONUS FABER,OLYMPICA I (WENGE),OLYMPICA I (WENGE),3575.0,6500.0,False,29.0,11,SONUS FABER,PMK Pointed 5 pcs/pack,,$12 ,$30 ,False,False,True,,
404,CHIEF,CMA100,CMA100,98.82,183.0,False,100.0,15,CHIEF,CMA100,,98.82,210.0,False,False,True,,
420,CHIEF,FSR1U,FSR1U,38.34,71.0,False,100.0,389,CHIEF,FSR1U,,38.34,79.0,False,False,True,,
406,CHIEF,CMA105,CMA105,23.76,44.0,False,100.0,20,CHIEF,CMA105,,23.76,65.0,False,False,True,,
405,CHIEF,CMA101,CMA101,11.61,21.5,False,100.0,17,CHIEF,CMA101,,11.61,32.2,False,False,True,,
408,CHIEF,CMA115,CMA115,30.78,57.0,False,100.0,26,CHIEF,CMA115,,30.78,76.0,False,False,True,,
409,CHIEF,CMA115W,CMA115W,30.78,57.0,False,100.0,28,CHIEF,CMA115W,,30.78,76.0,False,False,True,,
410,CHIEF,CMA372,CMA372,32.4,60.0,False,100.0,57,CHIEF,CMA372,,32.4,87.0,False,False,True,,
411,CHIEF,CMS003,CMS003,6.53,12.1,False,100.0,83,CHIEF,CMS003,,6.53,14.9,False,False,True,,
412,CHIEF,CMS006009,CMS006009,38.34,71.0,False,100.0,86,CHIEF,CMS006009,,38.34,81.0,False,False,True,,
413,CHIEF,CMS009,CMS009,19.22,35.6,False,100.0,89,CHIEF,CMS009,,19.22,41.0,False,False,True,,
414,CHIEF,CMS009012W,CMS009012W,54.0,100.0,False,100.0,91,CHIEF,CMS009012W,,54.0,112.0,False,False,True,,
415,CHIEF,CMS012018,CMS012018,65.5,121.2963,False,100.0,94,CHIEF,CMS012018,,67.5,139.0,False,False,True,,
416,CHIEF,CMS0203,CMS0203,79.92,148.0,False,100.0,101,CHIEF,CMS0203,,79.92,166.0,False,False,True,,
417,CHIEF,FHB3034,FHB3034,5.89,10.9,False,100.0,310,CHIEF,FHB3034,,5.89,15.9,False,False,True,,
418,CHIEF,FHB5147,FHB5147,7.02,13.0,False,100.0,336,CHIEF,FHB5147,,7.02,14.0,False,False,True,,
433,CHIEF,ODMLA25,ODMLA25,335.88,622.0,False,100.0,1181,CHIEF,ODMLA25,,335.88,685.0,False,False,True,,
434,CHIEF,PAC501B,PAC501B,150.66,279.0,False,100.0,1224,CHIEF,PAC501B,,150.66,318.0,False,False,True,,
421,CHIEF,JWD210B,JWD210B,151.74,281.0,False,100.0,456,CHIEF,JWD210B,,151.74,318.0,False,False,True,,
422,CHIEF,JWDSKVB,JWDSKVB,232.2,430.0,False,100.0,465,CHIEF,JWDSKVB,,232.2,459.0,False,False,True,,
423,CHIEF,LSM1U,LSM1U,120.96,224.0,False,100.0,1012,CHIEF,LSM1U,,120.96,262.0,False,False,True,,
424,CHIEF,LSTU,LSTU,90.72,168.0,False,100.0,1014,CHIEF,LSTU,,90.72,202.0,False,False,True,,
425,CHIEF,LTM1U,LTM1U,170.1,315.0,False,100.0,1016,CHIEF,LTM1U,,170.1,339.0,False,False,True,,
426,CHIEF,LTTU,LTTU,120.96,224.0,False,100.0,1018,CHIEF,LTTU,,120.96,262.0,False,False,True,,
427,CHIEF,LVS1U,LVS1U,501.6,836.0,False,100.0,1025,CHIEF,LVS1U,,501.6,920.0,False,False,True,,
428,CHIEF,MCM1U,MCM1U,152.28,282.0,False,100.0,1076,CHIEF,MCM1U,,152.28,317.0,False,False,True,,
429,CHIEF,MTM1U,MTM1U,105.3,195.0,False,100.0,1148,CHIEF,MTM1U,,109.08,225.0,False,False,True,,
430,CHIEF,MTMS1U,MTMS1U,103.68,192.0,False,100.0,1150,CHIEF,MTMS1U,,103.68,214.0,False,False,True,,
431,CHIEF,MTTU,MTTU,90.72,168.0,False,100.0,1153,CHIEF,MTTU,,90.72,202.0,False,False,True,,
432,CHIEF,MWRUB,MWRUB,293.22,543.0,False,100.0,1161,CHIEF,MWRUB,,293.22,603.0,False,False,True,,
465,CHIEF,XTM1U,XTM1U,201.42,373.0,False,100.0,2834,CHIEF,XTM1U,,201.42,405.0,False,False,True,,
419,CHIEF,FHBU,FHBU,5.89,10.9,False,100.0,347,CHIEF,FHBU,,5.89,15.9,False,False,True,,
407,CHIEF,CMA110,CMA110,36.72,68.0,False,100.0,22,CHIEF,CMA110,,36.72,88.0,False,False,True,,
435,CHIEF,PAC525,PAC525,43.2,72.0,False,100.0,1226,CHIEF,PAC525,,43.2,83.0,False,False,True,,
451,CHIEF,TA502,TA502,117.72,218.0,False,100.0,2701,CHIEF,TA502,,117.72,251.0,False,False,True,,
437,CHIEF,PAC526F,PAC526F,87.6,146.0,False,100.0,1242,CHIEF,PAC526F,,87.6,162.0,False,False,True,,
438,CHIEF,PAC526FCW,PAC526FCW,106.8,178.0,False,100.0,1249,CHIEF,PAC526FCW,,106.8,196.0,False,False,True,,
440,CHIEF,PNRIW2000B,PNRIW2000B,355.32,658.0,False,100.0,1364,CHIEF,PNRIW2000B,,355.32,724.0,False,False,True,,
441,CHIEF,PNRIWUB,PNRIWUB,416.34,771.0,False,100.0,1365,CHIEF,PNRIWUB,,416.34,889.0,False,False,True,,
442,CHIEF,PNRUB,PNRUB,416.34,771.0,False,100.0,1366,CHIEF,PNRUB,,416.34,856.0,False,False,True,,
443,CHIEF,PSMH2079,PSMH2079,504.36,934.0,False,100.0,1422,CHIEF,PSMH2079,,504.36,1038.0,False,False,True,,
444,CHIEF,RPAU,RPAU,118.8,220.0,False,100.0,1573,CHIEF,RPAU,,118.8,246.0,False,False,True,,
445,CHIEF,RPMA364,RPMA364,142.56,264.0,False,100.0,1677,CHIEF,RPMA364,,142.56,289.0,False,False,True,,
446,CHIEF,RPMAU,RPMAUX,142.56,264.0,False,100.0,1680,CHIEF,RPMAU,,142.56,289.0,False,False,True,,
447,CHIEF,RPMAUW,RPMAUW,142.56,264.0,False,100.0,1682,CHIEF,RPMAUW,,142.56,289.0,False,False,True,,
436,CHIEF,PAC525FW,PAC525FW,62.4,104.0,False,100.0,1235,CHIEF,PAC525FW,,62.4,118.0,False,False,True,,
449,CHIEF,TA500,TA500,164.7,305.0,False,100.0,2699,CHIEF,TA500,,164.7,328.0,False,False,True,,
450,CHIEF,TA501,TA501,147.42,273.0,False,100.0,2700,CHIEF,TA501,,147.42,295.0,False,False,True,,
448,CHIEF,SLB364,SLB364,82.62,153.0,False,100.0,2406,CHIEF,SLB364,,82.62,177.0,False,False,True,,
452,CHIEF,TPK1,TPK1,24.3,45.0,False,100.0,2722,CHIEF,TPK1,,24.3,58.0,False,False,True,,
459,CHIEF,TS525TU,TS525TU,305.64,566.0,False,100.0,2739,CHIEF,TS525TU,,305.64,625.0,False,False,True,,
464,CHIEF,XCM1U,XCM1U,305.64,566.0,False,100.0,2825,CHIEF,XCM1U,,305.64,681.0,False,False,True,,
463,CHIEF,WMA2S,WMA2S,113.4,210.0,False,100.0,2811,CHIEF,WMA2S,,113.4,236.0,False,False,True,,
453,CHIEF,TPMUB,TPMUB,201.42,373.0,False,100.0,2728,CHIEF,TPMUB,,201.42,427.0,False,False,True,,
461,CHIEF,VCMU,VCMU,258.12,478.0,False,100.0,2782,CHIEF,VCMU,,258.12,537.0,False,False,True,,
460,CHIEF,VCM103S,VCM103S,258.12,478.0,False,100.0,2752,CHIEF,VCM103S,,258.12,537.0,False,False,True,,
462,CHIEF,VCTUB,VCTUB,323.46,599.0,False,100.0,2786,CHIEF,VCTUB,,323.46,659.0,False,False,True,,
458,CHIEF,TS325TU,TS325TU,244.08,452.0,False,100.0,2738,CHIEF,TS325TU,,244.08,494.0,False,False,True,,
457,CHIEF,TS318TU,TS318TU,213.84,396.0,False,100.0,2737,CHIEF,TS318TU,,213.84,449.0,False,False,True,,
456,CHIEF,TS318SU,TS318SU,183.06,339.0,False,100.0,2736,CHIEF,TS318SU,,183.06,405.0,False,False,True,,
455,CHIEF,TS218SU,TS218SU,140.4,260.0,False,100.0,2735,CHIEF,TS218SU,,140.4,284.0,False,False,True,,
454,CHIEF,TS118SU,TS118SU,78.3,145.0,False,100.0,2734,CHIEF,TS118SU,,78.3,170.0,False,False,True,,
3531,SANUS,CFR2115,CFR2115,259.25,549.99,False,88.0,2893,Sanus,CFR2115-B1,,283.65,599.99,False,False,True,,
3532,SANUS,WSSBM1-B2,WSSBM1,25.5,59.0,False,78.0,2995,Sanus,WSWMU1-B2,,14.28,39.99,False,False,True,,
3534,SANUS,WSWM21-B1,WSWM1-B1,16.97,39.99,False,78.0,2995,Sanus,WSWMU1-B2,,14.28,39.99,False,False,True,,
3536,SANUS,WSWM22-B1,WSWM2-B1,25.45,59.99,False,78.0,2996,Sanus,WSWMU2-B2,,23.92,59.99,False,False,True,,
439,CHIEF,PDRU-X,PDRU-X,451.44,836.0,False,75.33333333333333,1318,CHIEF,PDRUB,,478.44,967.0,False,False,True,,
3535,SANUS,WSWM21-W1,WSWM1-W1,16.97,39.99,False,73.66666666666667,2990,Sanus,WSS1-W1,,28.83,69.99,False,False,True,,
3533,SANUS,WSTV1,WSTV1,61.2,149.99,False,69.66666666666667,2686,CHIEF,STS1,,52.2,97.0,False,False,True,,
3537,SANUS,WSWM22-W1,WSWM2-W1,25.45,59.99,False,67.0,2996,Sanus,WSWMU2-B2,,23.92,59.99,False,False,True,,
